date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:15	8344/8344	U-----	200	untouched ('')	image/png	etag:%222098-57725dcca879b%22	https://simplychocolate.dk/wp-content/themes/simply-chocolate/media/packaging-mask_squared.png	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/wp-content/themes/simply-chocolate/media/packaging-mask_squared.png	(from https://simplychocolate.dk/wp-content/themes/simply-chocolate/static/app.bundle.js?ver=1.0.14)
12:57:17	32544/32544	U-----	200	untouched ('')	image/png	etag:%227f20-57725dcd535f8%22	https://simplychocolate.dk/wp-content/themes/simply-chocolate/media/smoke.png	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/wp-content/themes/simply-chocolate/media/smoke.png	(from https://simplychocolate.dk/wp-content/themes/simply-chocolate/static/app.bundle.js?ver=1.0.14)
12:57:18	2187/2187	U--M-Z	200	updated ('OK')	application/json	date:Fri,%2001%20May%202020%2008:27:16%20GMT	https://simplychocolate.dk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsimplychocolate.dk%2Fsantasfavorite%2F	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/wp-json/oembed/1.0/embedfb93.json	(from https://simplychocolate.dk/santasfavorite/)
12:57:21	375/375	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20May%202020%2008:27:19%20GMT	http://simplychocolate.dk/?wordfence_lh=1&hid=3854003ABC7E0E3EEC70350B47E0D578	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/index578d.html	(from https://simplychocolate.dk/santasfavorite/)
12:57:21	2448/2448	U--M-Z	200	updated ('OK')	text/xml	date:Fri,%2001%20May%202020%2008:27:18%20GMT	https://simplychocolate.dk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsimplychocolate.dk%2Fsantasfavorite%2F&format=xml	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/wp-json/oembed/1.0/embed4b70	(from https://simplychocolate.dk/santasfavorite/)
12:57:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20May%202020%2008:27:16%20GMT	https://simplychocolate.dk/?p=2358	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexbeb4.html	(from https://simplychocolate.dk/santasfavorite/)
12:57:23	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:21%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=F4B78160D56211D9329230D84E697ED1	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexd85c.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=F4B78160D56211D9329230D84E697ED1)
12:57:24	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:22%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=D283092FD4D97C5BB775ABE3395C4BB7	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/index2058.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=D283092FD4D97C5BB775ABE3395C4BB7)
12:57:26	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:24%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=70AFA93D140BC524661DAD5D5D63E715	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/index8c56.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=70AFA93D140BC524661DAD5D5D63E715)
12:57:27	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:25%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=1DE4039844B1A423240D36D3598F37C1	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexeb6b.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=1DE4039844B1A423240D36D3598F37C1)
